Date,Open,High,Low,Close,Adj Close,Volume
04-05-21,14687.25,14723.40039,14461.5,14496.5,14496.5,503400
05-05-21,14604.15039,14637.90039,14506.59961,14617.84961,14617.84961,455900
06-05-21,14668.34961,14743.90039,14611.5,14724.79981,14724.79981,467800
07-05-21,14816.84961,14863.04981,14765.5,14823.15039,14823.15039,488000
10-05-21,14928.25,14966.90039,14892.5,14942.34961,14942.34961,522000
11-05-21,14789.7002,14900,14771.40039,14850.75,14850.75,647400
12-05-21,14823.54981,14824.04981,14649.7002,14696.5,14696.5,643800
14-05-21,14749.40039,14749.65039,14591.90039,14677.79981,14677.79981,620700
17-05-21,14756.25,14938,14725.34961,14923.15039,14923.15039,546400
18-05-21,15067.2002,15137.25,15043.7002,15108.09961,15108.09961,583900
19-05-21,15058.59961,15133.40039,15008.84961,15030.15039,15030.15039,569100
20-05-21,15042.59961,15069.79981,14884.90039,14906.04981,14906.04981,480300
21-05-21,14987.79981,15190,14985.84961,15175.29981,15175.29981,572900
24-05-21,15211.34961,15256.25,15145.4502,15197.7002,15197.7002,579800
25-05-21,15291.75,15293.84961,15163.40039,15208.4502,15208.4502,441500
26-05-21,15257.04981,15319.90039,15194.9502,15301.4502,15301.4502,384000
27-05-21,15323.9502,15384.54981,15272.5,15337.84961,15337.84961,0
28-05-21,15421.2002,15469.65039,15394.75,15435.65039,15435.65039,468100
31-05-21,15437.75,15606.34961,15374,15582.79981,15582.79981,436000
01-06-21,15629.65039,15660.75,15528.29981,15574.84961,15574.84961,409600
02-06-21,15520.34961,15597.4502,15459.84961,15576.2002,15576.2002,428600
03-06-21,15655.54981,15705.09961,15611,15690.34961,15690.34961,410200
04-06-21,15712.5,15733.59961,15622.34961,15670.25,15670.25,414200
07-06-21,15725.09961,15773.4502,15678.09961,15751.65039,15751.65039,394000
08-06-21,15773.90039,15778.79981,15680,15740.09961,15740.09961,378200
09-06-21,15766.29981,15800.4502,15566.90039,15635.34961,15635.34961,457900
10-06-21,15692.09961,15751.25,15648.5,15737.75,15737.75,298300
11-06-21,15796.4502,15835.54981,15749.79981,15799.34961,15799.34961,363000
14-06-21,15791.40039,15823.04981,15606.5,15811.84961,15811.84961,392900
15-06-21,15866.9502,15901.59961,15842.40039,15869.25,15869.25,323300
16-06-21,15847.5,15880.84961,15742.59961,15767.54981,15767.54981,340200
17-06-21,15648.29981,15769.34961,15616.75,15691.40039,15691.40039,357600
18-06-21,15756.5,15761.5,15450.90039,15683.34961,15683.34961,640800
21-06-21,15525.84961,15765.15039,15505.65039,15746.5,15746.5,351500
22-06-21,15840.5,15895.75,15752.09961,15772.75,15772.75,322200
23-06-21,15862.79981,15862.9502,15673.9502,15686.9502,15686.9502,287500
24-06-21,15737.29981,15821.40039,15702.7002,15790.4502,15790.4502,316700
25-06-21,15839.34961,15870.79981,15772.29981,15860.34961,15860.34961,314600
28-06-21,15915.34961,15915.65039,15792.15039,15814.7002,15814.7002,255100
29-06-21,15807.5,15835.90039,15724.04981,15748.4502,15748.4502,360300
30-06-21,15776.90039,15839.09961,15708.75,15721.5,15721.5,262400
01-07-21,15755.04981,15755.54981,15667.04981,15680,15680,224900
02-07-21,15705.84961,15738.34961,15635.9502,15722.2002,15722.2002,254800
05-07-21,15793.40039,15845.9502,15762.04981,15834.34961,15834.34961,207000
06-07-21,15813.75,15914.2002,15801,15818.25,15818.25,391400
07-07-21,15819.59961,15893.54981,15779.7002,15879.65039,15879.65039,329300
08-07-21,15855.40039,15885.75,15682.90039,15727.90039,15727.90039,307900
09-07-21,15688.25,15730.84961,15632.75,15689.79981,15689.79981,243200
12-07-21,15766.79981,15789.2002,15644.75,15692.59961,15692.59961,216300
13-07-21,15794,15820.79981,15744.59961,15812.34961,15812.34961,246700
14-07-21,15808.7002,15877.34961,15764.2002,15853.9502,15853.9502,0
15-07-21,15872.15039,15952.34961,15855,15924.2002,15924.2002,284900
16-07-21,15958.34961,15962.25,15882.59961,15923.40039,15923.40039,276300
19-07-21,15754.5,15836.90039,15707.5,15752.40039,15752.40039,242100
20-07-21,15703.9502,15728.4502,15578.54981,15632.09961,15632.09961,274300
22-07-21,15736.59961,15834.79981,15726.40039,15824.04981,15824.04981,265300
23-07-21,15856.79981,15899.79981,15768.40039,15856.04981,15856.04981,294100
26-07-21,15849.29981,15893.34961,15797,15824.4502,15824.4502,267100
27-07-21,15860.5,15881.54981,15701,15746.4502,15746.4502,311000
28-07-21,15761.54981,15767.5,15513.4502,15709.40039,15709.40039,318600
29-07-21,15762.7002,15817.34961,15737.79981,15778.4502,15778.4502,401600
30-07-21,15800.59961,15862.79981,15744.84961,15763.04981,15763.04981,400000
02-08-21,15874.90039,15892.90039,15834.65039,15885.15039,15885.15039,244800
03-08-21,15951.54981,16146.90039,15914.34961,16130.75,16130.75,341300
04-08-21,16195.25,16290.2002,16176.15039,16258.79981,16258.79981,427300
05-08-21,16288.9502,16349.4502,16210.29981,16294.59961,16294.59961,418200
06-08-21,16304.40039,16336.75,16223.29981,16238.2002,16238.2002,320100
09-08-21,16281.34961,16320.75,16179.04981,16258.25,16258.25,240500
10-08-21,16274.79981,16359.25,16202.25,16280.09961,16280.09961,288000
11-08-21,16327.29981,16338.75,16162.54981,16282.25,16282.25,277900
12-08-21,16303.65039,16375.5,16286.90039,16364.40039,16364.40039,280200
13-08-21,16385.69922,16543.59961,16376.29981,16529.09961,16529.09961,321900
16-08-21,16518.40039,16589.40039,16480.75,16563.05078,16563.05078,254000
17-08-21,16545.25,16628.55078,16495.40039,16614.59961,16614.59961,297400
18-08-21,16691.94922,16701.84961,16535.84961,16568.84961,16568.84961,251800
20-08-21,16382.5,16509.55078,16376.04981,16450.5,16450.5,350800
23-08-21,16592.25,16592.5,16395.69922,16496.44922,16496.44922,275600
24-08-21,16561.40039,16647.09961,16495.30078,16624.59961,16624.59961,275400
25-08-21,16654,16712.44922,16617.5,16634.65039,16634.65039,265900
26-08-21,16627.94922,16683.69922,16603.40039,16636.90039,16636.90039,253500
27-08-21,16642.55078,16722.05078,16565.59961,16705.19922,16705.19922,217400
30-08-21,16775.84961,16951.5,16764.84961,16931.05078,16931.05078,283500
31-08-21,16947.5,17153.5,16915.84961,17132.19922,17132.19922,464400
01-09-21,17185.59961,17225.75,17055.05078,17076.25,17076.25,301900
02-09-21,17095.40039,17245.5,17059.69922,17234.15039,17234.15039,242400
